support_interaction_id,unified_customer_id,ticket_id,customer_name,customer_email,customer_age,customer_gender,product_purchased,date_of_purchase,ticket_type,ticket_subject,ticket_status,resolution,ticket_priority,ticket_channel,first_response_time,time_to_resolution,resolution_hours_after_first_response,customer_satisfaction_rating,is_closed,is_open,response_available_flag,resolution_available_flag,invalid_age_flag,invalid_satisfaction_rating_flag,resolution_before_response_flag,identity_resolution_method,identity_confidence_score
SUP00000011,CUST0006367,541,Melissa Turner,lwilliams@example.com,19,female,dell_xps,2021-03-06 00:00:00,product_inquiry,software_bug,pending_customer_response,,critical,email,2023-05-31 22:20:02,,,,0,1,1,0,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000012,CUST0001907,372,Daniel Lowe,wmassey@example.org,39,other,amazon_kindle,2021-02-21 00:00:00,cancellation_request,battery_life,closed,Tv hope because woman center.,medium,email,2023-05-31 22:20:05,2023-05-31 22:59:05,0.65,1.0,1,0,1,1,0,0,0,synthetic_email_hash_global_pool,0.45
SUP00000013,CUST0003986,419,Kara Wright PhD,dawnmartinez@example.net,47,female,garmin_forerunner,2020-06-17 00:00:00,technical_issue,software_bug,closed,It professor television little director discuss manager because.,low,chat,2023-05-31 22:20:10,2023-06-01 20:41:10,22.35,2.0,1,0,1,1,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000014,CUST0005375,727,Ashley Gardner,yjones@example.com,33,male,amazon_echo,2020-06-03 00:00:00,refund_request,data_loss,pending_customer_response,,medium,phone,2023-05-31 22:20:20,,,,0,1,1,0,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000015,CUST0003480,657,Mr. Gregory Hanson,bowenronald@example.org,55,female,sony_play_station,2021-04-16 00:00:00,refund_request,product_recommendation,closed,Where single head subject for.,critical,email,2023-05-31 22:21:47,2023-06-01 16:44:47,18.383333333333333,1.0,1,0,1,1,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000016,CUST0003150,1054,Alicia Stewart,adam45@example.com,29,female,autodesk_auto_cad,2021-12-21 00:00:00,technical_issue,installation_support,pending_customer_response,,medium,social_media,2023-05-31 22:21:47,,,,0,1,1,0,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000017,CUST0000010,285,Gina Hunter,michealhernandez@example.com,35,female,microsoft_xbox_controller,2020-03-24 00:00:00,billing_inquiry,payment_issue,pending_customer_response,,low,phone,2023-05-31 22:22:16,,,,0,1,1,0,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000018,CUST0002474,1594,Maria Marquez,brittanyjones@example.net,56,male,fitbit_versa_smartwatch,2020-04-29 00:00:00,refund_request,display_issue,closed,Available TV property plant camera society majority.,high,email,2023-05-31 22:32:08,2023-06-01 12:46:08,14.233333333333333,1.0,1,0,1,1,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000019,CUST0004369,1831,Shannon Smith,lmurray@example.net,20,male,nikon_d,2020-07-16 00:00:00,technical_issue,network_problem,pending_customer_response,,high,social_media,2023-05-31 22:34:34,,,,0,1,1,0,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000020,CUST0006203,2101,Shannon Collins,onorman@example.org,66,male,amazon_echo,2021-11-09 00:00:00,cancellation_request,refund_request,closed,Parent thank expect attorney past.,medium,phone,2023-05-31 22:37:07,2023-05-31 23:04:07,0.45,5.0,1,0,1,1,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000021,CUST0001949,1814,Charles Kelly,williamstewart@example.com,69,male,google_pixel,2020-02-18 00:00:00,billing_inquiry,payment_issue,pending_customer_response,,high,phone,2023-05-31 22:37:11,,,,0,1,1,0,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000022,CUST0001941,645,Jenna Gomez,williamhayden@example.org,67,male,mac_book_pro,2020-03-04 00:00:00,refund_request,refund_request,closed,Now for country continue.,medium,social_media,2023-05-31 22:37:30,2023-06-01 12:33:30,13.933333333333334,1.0,1,0,1,1,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000023,CUST0001095,793,Donna Campbell,jacksonjohnson@example.com,40,female,fitbit_versa_smartwatch,2020-08-30 00:00:00,technical_issue,product_compatibility,pending_customer_response,,critical,email,2023-05-31 22:37:55,,,,0,1,1,0,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000024,CUST0004516,66,Jeffrey Hernandez,perezdana@example.org,56,male,apple_air_pods,2021-11-11 00:00:00,technical_issue,battery_life,pending_customer_response,,medium,phone,2023-05-31 22:38:07,,,,0,1,1,0,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000025,CUST0001964,1495,Jonathan Estrada,brian34@example.org,37,male,i_phone,2020-07-28 00:00:00,cancellation_request,delivery_problem,pending_customer_response,,high,social_media,2023-05-31 22:39:57,,,,0,1,1,0,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000026,CUST0004452,1630,Aaron Salazar,stephaniegarcia@example.net,51,female,google_pixel,2021-05-07 00:00:00,cancellation_request,network_problem,closed,Information since as follow bad give now.,critical,social_media,2023-05-31 22:40:00,2023-06-01 07:57:00,9.283333333333333,4.0,1,0,1,1,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000027,CUST0005423,2263,Kathleen Lopez,hhawkins@example.net,57,other,lg_oled,2021-11-12 00:00:00,refund_request,display_issue,closed,Learn physical water.,high,phone,2023-05-31 22:40:56,2023-06-01 14:00:56,15.333333333333334,2.0,1,0,1,1,0,0,0,synthetic_email_hash_global_pool,0.45
SUP00000028,CUST0002188,2178,Margaret Turner,brian64@example.com,30,male,google_pixel,2021-09-07 00:00:00,billing_inquiry,refund_request,closed,Matter technology financial involve a happy.,high,phone,2023-05-31 22:40:57,2023-06-01 02:47:57,4.116666666666667,2.0,1,0,1,1,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000029,CUST0002241,1118,Ryan Callahan,johnsonrobert@example.net,33,female,google_nest,2020-12-07 00:00:00,technical_issue,refund_request,closed,Involve third business of happen near.,critical,social_media,2023-05-31 22:42:17,2023-06-01 01:43:17,3.0166666666666666,5.0,1,0,1,1,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000030,CUST0001074,1031,Megan Bryan,jill33@example.com,67,female,sony_xperia,2020-06-26 00:00:00,technical_issue,payment_issue,closed,Gun employee building painting.,medium,phone,2023-05-31 22:44:12,2023-06-01 16:06:12,17.366666666666667,1.0,1,0,1,1,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000031,CUST0001373,2496,Elizabeth Lopez,rileyjordan@example.com,55,male,go_pro_hero,2020-12-05 00:00:00,refund_request,data_loss,pending_customer_response,,low,social_media,2023-05-31 22:44:21,,,,0,1,1,0,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000032,CUST0003026,633,Bailey Black,lauren07@example.com,66,other,canon_dslr_camera,2021-03-24 00:00:00,cancellation_request,battery_life,pending_customer_response,,critical,social_media,2023-05-31 22:47:17,,,,0,1,1,0,0,0,0,synthetic_email_hash_global_pool,0.45
SUP00000033,CUST0005730,1944,Kayla Holland,mathewhartman@example.net,69,male,amazon_kindle,2020-01-07 00:00:00,refund_request,refund_request,pending_customer_response,,critical,phone,2023-05-31 22:48:16,,,,0,1,1,0,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000034,CUST0006972,1731,James Frank,erikwheeler@example.org,28,other,amazon_echo,2020-09-08 00:00:00,billing_inquiry,battery_life,pending_customer_response,,critical,phone,2023-05-31 22:49:15,,,,0,1,1,0,0,0,0,synthetic_email_hash_global_pool,0.45
SUP00000035,CUST0002474,1955,Mr. Anthony Booth,sthompson@example.com,61,other,amazon_kindle,2020-03-22 00:00:00,billing_inquiry,product_recommendation,closed,Note choose fear season spend garden organization mouth.,medium,phone,2023-05-31 22:49:33,2023-06-01 15:32:33,16.71666666666667,5.0,1,0,1,1,0,0,0,synthetic_email_hash_global_pool,0.45
SUP00000036,CUST0002095,663,Jason Garcia,ndennis@example.net,26,female,amazon_echo,2021-12-26 00:00:00,billing_inquiry,data_loss,closed,Difficult fast table mission blue machine prove.,high,social_media,2023-05-31 22:49:57,2023-06-01 00:39:57,1.8333333333333333,4.0,1,0,1,1,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000037,CUST0004471,227,Angelica Tucker,vanessa77@example.net,53,female,apple_air_pods,2021-01-04 00:00:00,billing_inquiry,product_recommendation,closed,Young crime imagine.,high,phone,2023-05-31 22:49:59,2023-06-01 16:11:59,17.366666666666667,4.0,1,0,1,1,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000038,CUST0001667,2400,Joel Clark,john97@example.com,50,other,fitbit_charge,2020-06-05 00:00:00,technical_issue,refund_request,pending_customer_response,,high,phone,2023-05-31 22:50:05,,,,0,1,1,0,0,0,0,synthetic_email_hash_global_pool,0.45
SUP00000039,CUST0002329,823,Jessica Reed,robert80@example.com,33,other,nest_thermostat,2021-04-02 00:00:00,billing_inquiry,product_recommendation,pending_customer_response,,medium,phone,2023-05-31 22:51:36,,,,0,1,1,0,0,0,0,synthetic_email_hash_global_pool,0.45
SUP00000040,CUST0002078,2316,Matthew Welch,christineadams@example.com,45,male,microsoft_office,2020-03-27 00:00:00,refund_request,network_problem,pending_customer_response,,critical,email,2023-05-31 22:53:09,,,,0,1,1,0,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000041,CUST0001360,1482,Rhonda Gates,joshuamunoz@example.com,28,other,lg_smart_tv,2021-04-07 00:00:00,cancellation_request,installation_support,closed,Office listen understand free meet fight it.,medium,email,2023-05-31 22:53:38,2023-06-01 02:13:38,3.3333333333333335,4.0,1,0,1,1,0,0,0,synthetic_email_hash_global_pool,0.45
SUP00000042,CUST0004774,915,Brian Hale,harrisonbarbara@example.net,52,female,canon_dslr_camera,2020-07-06 00:00:00,refund_request,product_recommendation,pending_customer_response,,critical,chat,2023-05-31 22:54:39,,,,0,1,1,0,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000043,CUST0000037,1973,Charles Davis,martinerin@example.org,37,female,amazon_echo,2021-12-03 00:00:00,refund_request,payment_issue,pending_customer_response,,high,social_media,2023-05-31 22:55:03,,,,0,1,1,0,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000044,CUST0005749,2546,John Robinson,kimberlymartin@example.org,67,other,nintendo_switch_pro_controller,2021-05-24 00:00:00,technical_issue,data_loss,pending_customer_response,,medium,email,2023-05-31 22:55:28,,,,0,1,1,0,0,0,0,synthetic_email_hash_global_pool,0.45
SUP00000045,CUST0003569,1355,Cole Morgan,victoria85@example.net,46,female,i_phone,2020-02-27 00:00:00,billing_inquiry,product_compatibility,closed,Right allow big expect bad college pay expect.,high,chat,2023-05-31 22:55:48,2023-06-01 01:28:48,2.55,3.0,1,0,1,1,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000046,CUST0000571,1940,Evan Medina,douglas54@example.com,20,female,canon_dslr_camera,2021-07-25 00:00:00,product_inquiry,network_problem,pending_customer_response,,high,phone,2023-05-31 22:56:10,,,,0,1,1,0,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000047,CUST0005889,764,Joshua Schmidt,michaelferrell@example.net,25,female,sony_play_station,2020-05-19 00:00:00,product_inquiry,cancellation_request,closed,System consider now history on impact.,medium,social_media,2023-05-31 22:56:14,2023-06-01 00:30:14,1.5666666666666667,5.0,1,0,1,1,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000048,CUST0006389,291,Darryl Edwards,valdezmark@example.net,58,other,roomba_robot_vacuum,2020-04-04 00:00:00,billing_inquiry,payment_issue,pending_customer_response,,low,chat,2023-05-31 22:57:22,,,,0,1,1,0,0,0,0,synthetic_email_hash_global_pool,0.45
SUP00000049,CUST0001560,224,Allison King,jensenwilliam@example.org,67,female,lenovo_think_pad,2020-05-27 00:00:00,refund_request,product_recommendation,pending_customer_response,,low,chat,2023-05-31 22:57:55,,,,0,1,1,0,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000050,CUST0001350,1017,Marie Fletcher,thomasjonathon@example.net,44,female,amazon_echo,2020-04-04 00:00:00,cancellation_request,hardware_issue,pending_customer_response,,low,social_media,2023-05-31 22:59:58,,,,0,1,1,0,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000051,CUST0006148,69,Brianna Scott MD,jbranch@example.net,51,other,adobe_photoshop,2021-02-06 00:00:00,technical_issue,product_compatibility,pending_customer_response,,critical,chat,2023-05-31 23:00:12,,,,0,1,1,0,0,0,0,synthetic_email_hash_global_pool,0.45
SUP00000052,CUST0002744,2411,Scott Wilson,joannabarnes@example.org,36,other,dyson_vacuum_cleaner,2021-04-25 00:00:00,technical_issue,software_bug,closed,World section science relate debate number.,critical,phone,2023-05-31 23:00:20,2023-06-01 16:07:20,17.116666666666667,5.0,1,0,1,1,0,0,0,synthetic_email_hash_global_pool,0.45
SUP00000053,CUST0002007,2922,Robyn Pratt,william08@example.com,42,female,nikon_d,2020-12-17 00:00:00,billing_inquiry,installation_support,closed,Save operation blue call her pull.,low,chat,2023-05-31 23:00:52,2023-06-01 06:26:52,7.433333333333334,2.0,1,0,1,1,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000054,CUST0006195,511,Michael Odonnell,zobrien@example.net,68,female,amazon_kindle,2020-07-10 00:00:00,refund_request,product_setup,pending_customer_response,,low,phone,2023-05-31 23:01:22,,,,0,1,1,0,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000055,CUST0004680,1877,Patrick Hood,mary32@example.org,60,other,roomba_robot_vacuum,2021-02-11 00:00:00,technical_issue,display_issue,pending_customer_response,,high,social_media,2023-05-31 23:03:41,,,,0,1,1,0,0,0,0,synthetic_email_hash_global_pool,0.45
SUP00000056,CUST0006436,1839,Tina Brown,mary24@example.com,18,other,hp_pavilion,2020-08-22 00:00:00,refund_request,software_bug,closed,Turn direction rule kitchen strong health.,low,chat,2023-05-31 23:03:45,2023-06-01 21:25:45,22.366666666666667,4.0,1,0,1,1,0,0,0,synthetic_email_hash_global_pool,0.45
SUP00000057,CUST0005608,2716,Joseph Brown,seanclark@example.org,27,female,play_station,2020-08-01 00:00:00,technical_issue,product_recommendation,closed,Himself Congress population.,low,email,2023-05-31 23:04:19,2023-06-01 21:41:19,22.616666666666667,3.0,1,0,1,1,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000058,CUST0005399,2247,Douglas Rice,curryjuan@example.com,42,male,lg_smart_tv,2020-09-18 00:00:00,product_inquiry,battery_life,closed,Want cover experience job suddenly.,low,chat,2023-05-31 23:04:32,2023-05-31 22:48:32,-0.2666666666666667,5.0,1,0,1,1,0,0,1,synthetic_email_hash_demographic_segment,0.65
SUP00000059,CUST0005166,2034,George Frey,evanstony@example.org,70,other,nest_thermostat,2020-02-14 00:00:00,product_inquiry,peripheral_compatibility,pending_customer_response,,medium,phone,2023-05-31 23:05:26,,,,0,1,1,0,0,0,0,synthetic_email_hash_global_pool,0.45
SUP00000060,CUST0004540,1173,Savannah Willis,zwalter@example.com,66,female,microsoft_xbox_controller,2020-05-01 00:00:00,refund_request,installation_support,pending_customer_response,,critical,phone,2023-05-31 23:05:37,,,,0,1,1,0,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000061,CUST0003004,3170,Angela Johnson,deleonmichael@example.net,46,other,play_station,2021-07-01 00:00:00,product_inquiry,payment_issue,pending_customer_response,,high,email,2023-05-31 23:05:43,,,,0,1,1,0,0,0,0,synthetic_email_hash_global_pool,0.45
SUP00000062,CUST0006126,544,Amanda Robertson,howard95@example.com,18,male,play_station,2021-08-06 00:00:00,refund_request,display_issue,closed,They best whatever similar record care skin long.,low,email,2023-05-31 23:07:07,2023-06-01 17:51:07,18.733333333333334,2.0,1,0,1,1,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000063,CUST0003542,1783,Michael Chen,williamscheryl@example.com,66,male,samsung_galaxy,2021-12-11 00:00:00,technical_issue,account_access,closed,Deal thing along east.,low,phone,2023-05-31 23:07:29,2023-06-01 00:51:29,1.7333333333333334,2.0,1,0,1,1,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000064,CUST0004388,1256,Paul Baldwin,mirandajohnson@example.net,38,other,go_pro_hero,2020-10-14 00:00:00,technical_issue,installation_support,closed,Deal step team east pressure.,high,social_media,2023-05-31 23:09:36,2023-06-01 18:36:36,19.45,2.0,1,0,1,1,0,0,0,synthetic_email_hash_global_pool,0.45
SUP00000065,CUST0003600,3576,Dana Johnson,brandyhughes@example.com,38,male,sony_play_station,2020-07-30 00:00:00,refund_request,product_recommendation,closed,Prevent agree carry treat.,low,email,2023-05-31 23:09:49,2023-06-01 18:06:49,18.95,5.0,1,0,1,1,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000066,CUST0002072,1771,Matthew Jimenez,aaron89@example.com,67,female,lg_oled,2020-09-24 00:00:00,product_inquiry,refund_request,pending_customer_response,,critical,email,2023-05-31 23:10:12,,,,0,1,1,0,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000067,CUST0002405,174,Seth Foster,fmoore@example.com,50,other,lenovo_think_pad,2021-10-01 00:00:00,refund_request,product_recommendation,pending_customer_response,,medium,email,2023-05-31 23:10:43,,,,0,1,1,0,0,0,0,synthetic_email_hash_global_pool,0.45
SUP00000068,CUST0005420,2315,Mr. Brian Morales,hholmes@example.net,41,female,sony_xperia,2020-01-05 00:00:00,technical_issue,payment_issue,closed,Capital goal phone set.,high,social_media,2023-05-31 23:12:08,2023-06-01 07:40:08,8.466666666666669,1.0,1,0,1,1,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000069,CUST0006733,2679,Dominique Heath,allisonjason@example.com,69,other,i_phone,2021-06-28 00:00:00,technical_issue,product_compatibility,closed,Couple thing anything too easy involve animal lot.,critical,email,2023-05-31 23:12:27,2023-06-01 13:59:27,14.783333333333333,3.0,1,0,1,1,0,0,0,synthetic_email_hash_global_pool,0.45
SUP00000070,CUST0004343,3417,Aaron Norris,scott33@example.org,26,female,sony_4_k_hdr_tv,2020-08-12 00:00:00,technical_issue,installation_support,pending_customer_response,,high,email,2023-05-31 23:12:28,,,,0,1,1,0,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000071,CUST0001985,3213,Candace Callahan,robertsjason@example.net,41,male,apple_air_pods,2020-02-04 00:00:00,refund_request,refund_request,closed,Garden pull others situation.,high,social_media,2023-05-31 23:12:40,2023-06-01 20:42:40,21.5,1.0,1,0,1,1,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000072,CUST0000279,760,Jill Hayes,thomas78@example.org,20,female,autodesk_auto_cad,2021-07-06 00:00:00,refund_request,hardware_issue,pending_customer_response,,low,social_media,2023-05-31 23:13:10,,,,0,1,1,0,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000073,CUST0006664,3031,William Stein,tthompson@example.net,29,male,amazon_echo,2020-11-17 00:00:00,refund_request,product_recommendation,closed,To economic however result strategy produce away.,high,email,2023-05-31 23:13:23,2023-06-01 19:45:23,20.533333333333335,4.0,1,0,1,1,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000074,CUST0006722,751,Gina Downs,cbailey@example.org,48,other,microsoft_surface,2020-06-25 00:00:00,technical_issue,delivery_problem,pending_customer_response,,critical,social_media,2023-05-31 23:13:57,,,,0,1,1,0,0,0,0,synthetic_email_hash_global_pool,0.45
SUP00000075,CUST0000137,462,Marissa Johnston,richardsyvonne@example.com,52,other,google_nest,2020-09-22 00:00:00,billing_inquiry,delivery_problem,closed,Teach relate many five throughout maintain.,critical,email,2023-05-31 23:15:11,2023-06-01 13:29:11,14.233333333333333,3.0,1,0,1,1,0,0,0,synthetic_email_hash_global_pool,0.45
SUP00000076,CUST0005972,729,Deborah Snow,elizabethtorres@example.net,29,other,lg_washing_machine,2021-03-09 00:00:00,cancellation_request,delivery_problem,closed,About history base data until drug support.,high,social_media,2023-05-31 23:15:22,2023-06-01 13:25:22,14.166666666666666,2.0,1,0,1,1,0,0,0,synthetic_email_hash_global_pool,0.45
SUP00000077,CUST0002087,1166,John Collier,jon73@example.com,53,female,lg_washing_machine,2020-09-22 00:00:00,technical_issue,display_issue,closed,Thousand policy door husband black.,medium,chat,2023-05-31 23:15:27,2023-06-01 08:19:27,9.066666666666668,5.0,1,0,1,1,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000078,CUST0005127,1131,Jesus Snyder,ashleythompson@example.com,70,other,lg_smart_tv,2020-11-19 00:00:00,cancellation_request,refund_request,pending_customer_response,,medium,chat,2023-05-31 23:15:35,,,,0,1,1,0,0,0,0,synthetic_email_hash_global_pool,0.45
SUP00000079,CUST0006828,693,Rose Watson,esnow@example.com,40,other,google_nest,2021-03-09 00:00:00,cancellation_request,hardware_issue,pending_customer_response,,critical,chat,2023-05-31 23:15:36,,,,0,1,1,0,0,0,0,synthetic_email_hash_global_pool,0.45
SUP00000080,CUST0003675,1836,Kathleen Richards,richard66@example.com,51,other,lg_oled,2021-08-22 00:00:00,technical_issue,account_access,closed,Financial learn history article.,critical,chat,2023-05-31 23:15:41,2023-06-01 03:38:41,4.383333333333334,4.0,1,0,1,1,0,0,0,synthetic_email_hash_global_pool,0.45
SUP00000081,CUST0006373,1452,John Morgan,whiteandrea@example.net,27,other,go_pro_action_camera,2020-08-21 00:00:00,billing_inquiry,battery_life,pending_customer_response,,critical,chat,2023-05-31 23:15:55,,,,0,1,1,0,0,0,0,synthetic_email_hash_global_pool,0.45
SUP00000082,CUST0001884,2443,Judy White,jacquelineolsen@example.com,51,other,sony_xperia,2020-08-26 00:00:00,technical_issue,display_issue,pending_customer_response,,medium,phone,2023-05-31 23:16:01,,,,0,1,1,0,0,0,0,synthetic_email_hash_global_pool,0.45
SUP00000083,CUST0000933,987,Joshua Williams,martinamanda@example.org,21,male,microsoft_office,2021-05-18 00:00:00,technical_issue,product_compatibility,closed,Professional identify stage pressure item teacher military.,critical,social_media,2023-05-31 23:16:19,2023-06-01 05:56:19,6.666666666666667,4.0,1,0,1,1,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000084,CUST0001990,192,Jesus Cross,petersanders@example.com,57,female,fitbit_charge,2020-10-14 00:00:00,product_inquiry,delivery_problem,pending_customer_response,,low,email,2023-05-31 23:17:07,,,,0,1,1,0,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000085,CUST0002812,2754,Kevin Vincent,smithdaniel@example.com,39,male,canon_eos,2020-04-28 00:00:00,cancellation_request,hardware_issue,closed,Station table southern huge.,low,email,2023-05-31 23:17:09,2023-06-01 17:52:09,18.583333333333332,1.0,1,0,1,1,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000086,CUST0003244,29,Christine Wang,garciastacy@example.com,30,other,fitbit_charge,2020-06-10 00:00:00,technical_issue,product_recommendation,closed,Soldier we such inside.,critical,phone,2023-05-31 23:17:17,2023-06-01 06:03:17,6.766666666666667,5.0,1,0,1,1,0,0,0,synthetic_email_hash_global_pool,0.45
SUP00000087,CUST0004908,90,Lisa Hill,hinescarrie@example.org,40,male,sony_xperia,2020-01-30 00:00:00,product_inquiry,product_recommendation,closed,Exactly red two dog.,medium,email,2023-05-31 23:17:40,2023-06-01 03:09:40,3.8666666666666667,5.0,1,0,1,1,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000088,CUST0006101,1343,Sheena Guzman,reginastone@example.com,47,female,fitbit_charge,2020-12-14 00:00:00,cancellation_request,installation_support,pending_customer_response,,critical,email,2023-05-31 23:18:31,,,,0,1,1,0,0,0,0,synthetic_email_hash_demographic_segment,0.65
SUP00000089,CUST0004870,2472,Matthew Fernandez,tanyastephens@example.org,59,other,mac_book_pro,2020-10-17 00:00:00,technical_issue,data_loss,closed,Record parent majority.,medium,email,2023-05-31 23:18:44,2023-06-01 01:25:44,2.116666666666667,3.0,1,0,1,1,0,0,0,synthetic_email_hash_global_pool,0.45
SUP00000090,CUST0005037,1931,Matthew Evans,burnsadam@example.com,69,other,bose_sound_link_speaker,2020-02-21 00:00:00,billing_inquiry,payment_issue,pending_customer_response,,critical,email,2023-05-31 23:19:57,,,,0,1,1,0,0,0,0,synthetic_email_hash_global_pool,0.45
