customer_identity_bridge_id,source_system,source_customer_id,source_customer_email,source_customer_name,unified_customer_id,identity_resolution_method,identity_confidence_score
IDBR00000021,telco_customer_churn,0023-UYUPN,,,CUST0000021,native_telco_customer_id,1.0
IDBR00000022,telco_customer_churn,0023-XUOPT,,,CUST0000022,native_telco_customer_id,1.0
IDBR00000023,telco_customer_churn,0027-KWYKW,,,CUST0000023,native_telco_customer_id,1.0
IDBR00000024,telco_customer_churn,0030-FNXPP,,,CUST0000024,native_telco_customer_id,1.0
IDBR00000025,telco_customer_churn,0031-PVLZI,,,CUST0000025,native_telco_customer_id,1.0
IDBR00000026,telco_customer_churn,0032-PGELS,,,CUST0000026,native_telco_customer_id,1.0
IDBR00000027,telco_customer_churn,0036-IHMOT,,,CUST0000027,native_telco_customer_id,1.0
IDBR00000028,telco_customer_churn,0040-HALCW,,,CUST0000028,native_telco_customer_id,1.0
IDBR00000029,telco_customer_churn,0042-JVWOJ,,,CUST0000029,native_telco_customer_id,1.0
IDBR00000030,telco_customer_churn,0042-RLHYP,,,CUST0000030,native_telco_customer_id,1.0
IDBR00000031,telco_customer_churn,0048-LUMLS,,,CUST0000031,native_telco_customer_id,1.0
IDBR00000032,telco_customer_churn,0048-PIHNL,,,CUST0000032,native_telco_customer_id,1.0
IDBR00000033,telco_customer_churn,0052-DCKON,,,CUST0000033,native_telco_customer_id,1.0
IDBR00000034,telco_customer_churn,0052-YNYOT,,,CUST0000034,native_telco_customer_id,1.0
IDBR00000035,telco_customer_churn,0056-EPFBG,,,CUST0000035,native_telco_customer_id,1.0
IDBR00000036,telco_customer_churn,0057-QBUQH,,,CUST0000036,native_telco_customer_id,1.0
IDBR00000037,telco_customer_churn,0058-EVZWM,,,CUST0000037,native_telco_customer_id,1.0
IDBR00000038,telco_customer_churn,0060-FUALY,,,CUST0000038,native_telco_customer_id,1.0
IDBR00000039,telco_customer_churn,0064-SUDOG,,,CUST0000039,native_telco_customer_id,1.0
IDBR00000040,telco_customer_churn,0064-YIJGF,,,CUST0000040,native_telco_customer_id,1.0
IDBR00000041,telco_customer_churn,0067-DKWBL,,,CUST0000041,native_telco_customer_id,1.0
IDBR00000042,telco_customer_churn,0068-FIGTF,,,CUST0000042,native_telco_customer_id,1.0
IDBR00000043,telco_customer_churn,0071-NDAFP,,,CUST0000043,native_telco_customer_id,1.0
IDBR00000044,telco_customer_churn,0074-HDKDG,,,CUST0000044,native_telco_customer_id,1.0
IDBR00000045,telco_customer_churn,0076-LVEPS,,,CUST0000045,native_telco_customer_id,1.0
IDBR00000046,telco_customer_churn,0078-XZMHT,,,CUST0000046,native_telco_customer_id,1.0
IDBR00000047,telco_customer_churn,0080-EMYVY,,,CUST0000047,native_telco_customer_id,1.0
IDBR00000048,telco_customer_churn,0080-OROZO,,,CUST0000048,native_telco_customer_id,1.0
IDBR00000049,telco_customer_churn,0082-LDZUE,,,CUST0000049,native_telco_customer_id,1.0
IDBR00000050,telco_customer_churn,0082-OQIQY,,,CUST0000050,native_telco_customer_id,1.0
IDBR00000051,telco_customer_churn,0083-PIVIK,,,CUST0000051,native_telco_customer_id,1.0
IDBR00000052,telco_customer_churn,0089-IIQKO,,,CUST0000052,native_telco_customer_id,1.0
IDBR00000053,telco_customer_churn,0093-EXYQL,,,CUST0000053,native_telco_customer_id,1.0
IDBR00000054,telco_customer_churn,0093-XWZFY,,,CUST0000054,native_telco_customer_id,1.0
IDBR00000055,telco_customer_churn,0094-OIFMO,,,CUST0000055,native_telco_customer_id,1.0
IDBR00000056,telco_customer_churn,0096-BXERS,,,CUST0000056,native_telco_customer_id,1.0
IDBR00000057,telco_customer_churn,0096-FCPUF,,,CUST0000057,native_telco_customer_id,1.0
IDBR00000058,telco_customer_churn,0098-BOWSO,,,CUST0000058,native_telco_customer_id,1.0
IDBR00000059,telco_customer_churn,0100-DUVFC,,,CUST0000059,native_telco_customer_id,1.0
IDBR00000060,telco_customer_churn,0103-CSITQ,,,CUST0000060,native_telco_customer_id,1.0
IDBR00000061,telco_customer_churn,0104-PPXDV,,,CUST0000061,native_telco_customer_id,1.0
IDBR00000062,telco_customer_churn,0106-GHRQR,,,CUST0000062,native_telco_customer_id,1.0
IDBR00000063,telco_customer_churn,0106-UGRDO,,,CUST0000063,native_telco_customer_id,1.0
IDBR00000064,telco_customer_churn,0107-WESLM,,,CUST0000064,native_telco_customer_id,1.0
IDBR00000065,telco_customer_churn,0107-YHINA,,,CUST0000065,native_telco_customer_id,1.0
IDBR00000066,telco_customer_churn,0111-KLBQG,,,CUST0000066,native_telco_customer_id,1.0
IDBR00000067,telco_customer_churn,0112-QAWRZ,,,CUST0000067,native_telco_customer_id,1.0
IDBR00000068,telco_customer_churn,0112-QWPNC,,,CUST0000068,native_telco_customer_id,1.0
IDBR00000069,telco_customer_churn,0114-IGABW,,,CUST0000069,native_telco_customer_id,1.0
IDBR00000070,telco_customer_churn,0114-PEGZZ,,,CUST0000070,native_telco_customer_id,1.0
IDBR00000071,telco_customer_churn,0114-RSRRW,,,CUST0000071,native_telco_customer_id,1.0
IDBR00000072,telco_customer_churn,0115-TFERT,,,CUST0000072,native_telco_customer_id,1.0
IDBR00000073,telco_customer_churn,0117-LFRMW,,,CUST0000073,native_telco_customer_id,1.0
IDBR00000074,telco_customer_churn,0118-JPNOY,,,CUST0000074,native_telco_customer_id,1.0
IDBR00000075,telco_customer_churn,0121-SNYRK,,,CUST0000075,native_telco_customer_id,1.0
IDBR00000076,telco_customer_churn,0122-OAHPZ,,,CUST0000076,native_telco_customer_id,1.0
IDBR00000077,telco_customer_churn,0123-CRBRT,,,CUST0000077,native_telco_customer_id,1.0
IDBR00000078,telco_customer_churn,0125-LZQXK,,,CUST0000078,native_telco_customer_id,1.0
IDBR00000079,telco_customer_churn,0128-MKWSG,,,CUST0000079,native_telco_customer_id,1.0
IDBR00000080,telco_customer_churn,0129-KPTWJ,,,CUST0000080,native_telco_customer_id,1.0
IDBR00000081,telco_customer_churn,0129-QMPDR,,,CUST0000081,native_telco_customer_id,1.0
IDBR00000082,telco_customer_churn,0130-SXOUN,,,CUST0000082,native_telco_customer_id,1.0
IDBR00000083,telco_customer_churn,0133-BMFZO,,,CUST0000083,native_telco_customer_id,1.0
IDBR00000084,telco_customer_churn,0134-XWXCE,,,CUST0000084,native_telco_customer_id,1.0
IDBR00000085,telco_customer_churn,0135-NMXAP,,,CUST0000085,native_telco_customer_id,1.0
IDBR00000086,telco_customer_churn,0136-IFMYD,,,CUST0000086,native_telco_customer_id,1.0
IDBR00000087,telco_customer_churn,0137-OCGAB,,,CUST0000087,native_telco_customer_id,1.0
IDBR00000088,telco_customer_churn,0137-UDEUO,,,CUST0000088,native_telco_customer_id,1.0
IDBR00000089,telco_customer_churn,0139-IVFJG,,,CUST0000089,native_telco_customer_id,1.0
IDBR00000090,telco_customer_churn,0141-YEAYS,,,CUST0000090,native_telco_customer_id,1.0
IDBR00000091,telco_customer_churn,0142-GVYSN,,,CUST0000091,native_telco_customer_id,1.0
IDBR00000092,telco_customer_churn,0147-ESWWR,,,CUST0000092,native_telco_customer_id,1.0
IDBR00000093,telco_customer_churn,0148-DCDOS,,,CUST0000093,native_telco_customer_id,1.0
IDBR00000094,telco_customer_churn,0151-ONTOV,,,CUST0000094,native_telco_customer_id,1.0
IDBR00000095,telco_customer_churn,0156-FVPTA,,,CUST0000095,native_telco_customer_id,1.0
IDBR00000096,telco_customer_churn,0164-APGRB,,,CUST0000096,native_telco_customer_id,1.0
IDBR00000097,telco_customer_churn,0164-XAIRP,,,CUST0000097,native_telco_customer_id,1.0
IDBR00000098,telco_customer_churn,0168-XZKBB,,,CUST0000098,native_telco_customer_id,1.0
IDBR00000099,telco_customer_churn,0174-QRVVY,,,CUST0000099,native_telco_customer_id,1.0
IDBR00000100,telco_customer_churn,0177-PXBAT,,,CUST0000100,native_telco_customer_id,1.0
IDBR00000101,telco_customer_churn,0178-CIIKR,,,CUST0000101,native_telco_customer_id,1.0
IDBR00000102,telco_customer_churn,0178-SZBHO,,,CUST0000102,native_telco_customer_id,1.0
IDBR00000103,telco_customer_churn,0181-RITDD,,,CUST0000103,native_telco_customer_id,1.0
IDBR00000104,telco_customer_churn,0186-CAERR,,,CUST0000104,native_telco_customer_id,1.0
IDBR00000105,telco_customer_churn,0187-QSXOE,,,CUST0000105,native_telco_customer_id,1.0
IDBR00000106,telco_customer_churn,0187-WZNAB,,,CUST0000106,native_telco_customer_id,1.0
IDBR00000107,telco_customer_churn,0188-GWFLE,,,CUST0000107,native_telco_customer_id,1.0
IDBR00000108,telco_customer_churn,0191-EQUUH,,,CUST0000108,native_telco_customer_id,1.0
IDBR00000109,telco_customer_churn,0191-ZHSKZ,,,CUST0000109,native_telco_customer_id,1.0
IDBR00000110,telco_customer_churn,0193-ESZXP,,,CUST0000110,native_telco_customer_id,1.0
IDBR00000111,telco_customer_churn,0195-IESCP,,,CUST0000111,native_telco_customer_id,1.0
IDBR00000112,telco_customer_churn,0196-JTUQI,,,CUST0000112,native_telco_customer_id,1.0
IDBR00000113,telco_customer_churn,0196-VULGZ,,,CUST0000113,native_telco_customer_id,1.0
IDBR00000114,telco_customer_churn,0197-PNKNK,,,CUST0000114,native_telco_customer_id,1.0
IDBR00000115,telco_customer_churn,0201-MIBOL,,,CUST0000115,native_telco_customer_id,1.0
IDBR00000116,telco_customer_churn,0201-OAMXR,,,CUST0000116,native_telco_customer_id,1.0
IDBR00000117,telco_customer_churn,0203-HHYIJ,,,CUST0000117,native_telco_customer_id,1.0
IDBR00000118,telco_customer_churn,0206-OYVOC,,,CUST0000118,native_telco_customer_id,1.0
IDBR00000119,telco_customer_churn,0206-TBWLC,,,CUST0000119,native_telco_customer_id,1.0
IDBR00000120,telco_customer_churn,0207-MDKNV,,,CUST0000120,native_telco_customer_id,1.0
IDBR00000121,telco_customer_churn,0208-BPQEJ,,,CUST0000121,native_telco_customer_id,1.0
IDBR00000122,telco_customer_churn,0212-ISBBF,,,CUST0000122,native_telco_customer_id,1.0
IDBR00000123,telco_customer_churn,0214-JHPFW,,,CUST0000123,native_telco_customer_id,1.0
IDBR00000124,telco_customer_churn,0215-BQKGS,,,CUST0000124,native_telco_customer_id,1.0
IDBR00000125,telco_customer_churn,0218-QNVAS,,,CUST0000125,native_telco_customer_id,1.0
IDBR00000126,telco_customer_churn,0219-QAERP,,,CUST0000126,native_telco_customer_id,1.0
IDBR00000127,telco_customer_churn,0219-YTZUE,,,CUST0000127,native_telco_customer_id,1.0
IDBR00000128,telco_customer_churn,0220-EBGCE,,,CUST0000128,native_telco_customer_id,1.0
IDBR00000129,telco_customer_churn,0221-NAUXK,,,CUST0000129,native_telco_customer_id,1.0
IDBR00000130,telco_customer_churn,0221-WMXNQ,,,CUST0000130,native_telco_customer_id,1.0
IDBR00000131,telco_customer_churn,0222-CNVPT,,,CUST0000131,native_telco_customer_id,1.0
IDBR00000132,telco_customer_churn,0224-HJAPT,,,CUST0000132,native_telco_customer_id,1.0
IDBR00000133,telco_customer_churn,0224-NIJLP,,,CUST0000133,native_telco_customer_id,1.0
IDBR00000134,telco_customer_churn,0224-RLWWD,,,CUST0000134,native_telco_customer_id,1.0
IDBR00000135,telco_customer_churn,0225-ZORZP,,,CUST0000135,native_telco_customer_id,1.0
IDBR00000136,telco_customer_churn,0228-MAUWC,,,CUST0000136,native_telco_customer_id,1.0
IDBR00000137,telco_customer_churn,0229-LFJAF,,,CUST0000137,native_telco_customer_id,1.0
IDBR00000138,telco_customer_churn,0230-UBYPQ,,,CUST0000138,native_telco_customer_id,1.0
IDBR00000139,telco_customer_churn,0230-WEQUW,,,CUST0000139,native_telco_customer_id,1.0
IDBR00000140,telco_customer_churn,0231-LXVAP,,,CUST0000140,native_telco_customer_id,1.0
IDBR00000141,telco_customer_churn,0233-FTHAV,,,CUST0000141,native_telco_customer_id,1.0
IDBR00000142,telco_customer_churn,0234-TEVTT,,,CUST0000142,native_telco_customer_id,1.0
IDBR00000143,telco_customer_churn,0235-KGSLC,,,CUST0000143,native_telco_customer_id,1.0
IDBR00000144,telco_customer_churn,0236-HFWSV,,,CUST0000144,native_telco_customer_id,1.0
IDBR00000145,telco_customer_churn,0237-YFUTL,,,CUST0000145,native_telco_customer_id,1.0
IDBR00000146,telco_customer_churn,0238-WHBIQ,,,CUST0000146,native_telco_customer_id,1.0
IDBR00000147,telco_customer_churn,0239-OXEXL,,,CUST0000147,native_telco_customer_id,1.0
IDBR00000148,telco_customer_churn,0244-LGNFY,,,CUST0000148,native_telco_customer_id,1.0
IDBR00000149,telco_customer_churn,0247-SLUJI,,,CUST0000149,native_telco_customer_id,1.0
IDBR00000150,telco_customer_churn,0248-IPDFW,,,CUST0000150,native_telco_customer_id,1.0
IDBR00000151,telco_customer_churn,0248-PGHBZ,,,CUST0000151,native_telco_customer_id,1.0
IDBR00000152,telco_customer_churn,0253-ZTEOB,,,CUST0000152,native_telco_customer_id,1.0
IDBR00000153,telco_customer_churn,0254-FNMCI,,,CUST0000153,native_telco_customer_id,1.0
IDBR00000154,telco_customer_churn,0254-KCJGT,,,CUST0000154,native_telco_customer_id,1.0
IDBR00000155,telco_customer_churn,0254-WWRKD,,,CUST0000155,native_telco_customer_id,1.0
IDBR00000156,telco_customer_churn,0256-LTHVJ,,,CUST0000156,native_telco_customer_id,1.0
IDBR00000157,telco_customer_churn,0257-KXZGU,,,CUST0000157,native_telco_customer_id,1.0
IDBR00000158,telco_customer_churn,0257-ZESQC,,,CUST0000158,native_telco_customer_id,1.0
IDBR00000159,telco_customer_churn,0258-NOKBL,,,CUST0000159,native_telco_customer_id,1.0
IDBR00000160,telco_customer_churn,0259-GBZSH,,,CUST0000160,native_telco_customer_id,1.0
IDBR00000161,telco_customer_churn,0260-ZDLGK,,,CUST0000161,native_telco_customer_id,1.0
IDBR00000162,telco_customer_churn,0263-FJTQO,,,CUST0000162,native_telco_customer_id,1.0
IDBR00000163,telco_customer_churn,0264-CNITK,,,CUST0000163,native_telco_customer_id,1.0
IDBR00000164,telco_customer_churn,0265-EDXBD,,,CUST0000164,native_telco_customer_id,1.0
IDBR00000165,telco_customer_churn,0265-PSUAE,,,CUST0000165,native_telco_customer_id,1.0
IDBR00000166,telco_customer_churn,0266-CLZKZ,,,CUST0000166,native_telco_customer_id,1.0
IDBR00000167,telco_customer_churn,0266-GMEAO,,,CUST0000167,native_telco_customer_id,1.0
IDBR00000168,telco_customer_churn,0268-QKIWO,,,CUST0000168,native_telco_customer_id,1.0
IDBR00000169,telco_customer_churn,0269-XFESX,,,CUST0000169,native_telco_customer_id,1.0
IDBR00000170,telco_customer_churn,0270-THENM,,,CUST0000170,native_telco_customer_id,1.0
IDBR00000171,telco_customer_churn,0274-JKUJR,,,CUST0000171,native_telco_customer_id,1.0
IDBR00000172,telco_customer_churn,0277-BKSQP,,,CUST0000172,native_telco_customer_id,1.0
IDBR00000173,telco_customer_churn,0277-ORXQS,,,CUST0000173,native_telco_customer_id,1.0
IDBR00000174,telco_customer_churn,0278-YXOOG,,,CUST0000174,native_telco_customer_id,1.0
IDBR00000175,telco_customer_churn,0280-XJGEX,,,CUST0000175,native_telco_customer_id,1.0
IDBR00000176,telco_customer_churn,0281-CNTZX,,,CUST0000176,native_telco_customer_id,1.0
IDBR00000177,telco_customer_churn,0282-NVSJS,,,CUST0000177,native_telco_customer_id,1.0
IDBR00000178,telco_customer_churn,0285-INHLN,,,CUST0000178,native_telco_customer_id,1.0
IDBR00000179,telco_customer_churn,0289-IVARM,,,CUST0000179,native_telco_customer_id,1.0
IDBR00000180,telco_customer_churn,0292-WEGCH,,,CUST0000180,native_telco_customer_id,1.0
IDBR00000181,telco_customer_churn,0295-PPHDO,,,CUST0000181,native_telco_customer_id,1.0
IDBR00000182,telco_customer_churn,0295-QVKPB,,,CUST0000182,native_telco_customer_id,1.0
IDBR00000183,telco_customer_churn,0297-RBCSG,,,CUST0000183,native_telco_customer_id,1.0
IDBR00000184,telco_customer_churn,0298-XACET,,,CUST0000184,native_telco_customer_id,1.0
IDBR00000185,telco_customer_churn,0301-FIDRB,,,CUST0000185,native_telco_customer_id,1.0
IDBR00000186,telco_customer_churn,0301-KOBTQ,,,CUST0000186,native_telco_customer_id,1.0
IDBR00000187,telco_customer_churn,0302-JOIVN,,,CUST0000187,native_telco_customer_id,1.0
IDBR00000188,telco_customer_churn,0303-UNCIP,,,CUST0000188,native_telco_customer_id,1.0
IDBR00000189,telco_customer_churn,0303-WMMRN,,,CUST0000189,native_telco_customer_id,1.0
IDBR00000190,telco_customer_churn,0305-SQECB,,,CUST0000190,native_telco_customer_id,1.0
IDBR00000191,telco_customer_churn,0306-JAELE,,,CUST0000191,native_telco_customer_id,1.0
IDBR00000192,telco_customer_churn,0307-BCOPK,,,CUST0000192,native_telco_customer_id,1.0
IDBR00000193,telco_customer_churn,0308-GIQJT,,,CUST0000193,native_telco_customer_id,1.0
IDBR00000194,telco_customer_churn,0308-IVGOK,,,CUST0000194,native_telco_customer_id,1.0
IDBR00000195,telco_customer_churn,0310-MVLET,,,CUST0000195,native_telco_customer_id,1.0
IDBR00000196,telco_customer_churn,0310-SUCIN,,,CUST0000196,native_telco_customer_id,1.0
IDBR00000197,telco_customer_churn,0310-VQXAM,,,CUST0000197,native_telco_customer_id,1.0
IDBR00000198,telco_customer_churn,0311-QYWSS,,,CUST0000198,native_telco_customer_id,1.0
IDBR00000199,telco_customer_churn,0311-UNPFF,,,CUST0000199,native_telco_customer_id,1.0
IDBR00000200,telco_customer_churn,0314-TKOSI,,,CUST0000200,native_telco_customer_id,1.0
IDBR00000201,telco_customer_churn,0315-LVCRK,,,CUST0000201,native_telco_customer_id,1.0
IDBR00000202,telco_customer_churn,0318-QUUOB,,,CUST0000202,native_telco_customer_id,1.0
IDBR00000203,telco_customer_churn,0318-ZOPWS,,,CUST0000203,native_telco_customer_id,1.0
IDBR00000204,telco_customer_churn,0319-QZTCO,,,CUST0000204,native_telco_customer_id,1.0
IDBR00000205,telco_customer_churn,0320-DWVTU,,,CUST0000205,native_telco_customer_id,1.0
IDBR00000206,telco_customer_churn,0320-JDNQG,,,CUST0000206,native_telco_customer_id,1.0
IDBR00000207,telco_customer_churn,0322-CHQRU,,,CUST0000207,native_telco_customer_id,1.0
IDBR00000208,telco_customer_churn,0322-YINQP,,,CUST0000208,native_telco_customer_id,1.0
IDBR00000209,telco_customer_churn,0323-XWWTN,,,CUST0000209,native_telco_customer_id,1.0
IDBR00000210,telco_customer_churn,0324-BRPCJ,,,CUST0000210,native_telco_customer_id,1.0
IDBR00000211,telco_customer_churn,0325-XBFAC,,,CUST0000211,native_telco_customer_id,1.0
IDBR00000212,telco_customer_churn,0326-VDYXE,,,CUST0000212,native_telco_customer_id,1.0
IDBR00000213,telco_customer_churn,0327-WFZSY,,,CUST0000213,native_telco_customer_id,1.0
IDBR00000214,telco_customer_churn,0328-GRPMV,,,CUST0000214,native_telco_customer_id,1.0
IDBR00000215,telco_customer_churn,0329-GTIAJ,,,CUST0000215,native_telco_customer_id,1.0
IDBR00000216,telco_customer_churn,0330-BGYZE,,,CUST0000216,native_telco_customer_id,1.0
IDBR00000217,telco_customer_churn,0330-IVZHA,,,CUST0000217,native_telco_customer_id,1.0
IDBR00000218,telco_customer_churn,0334-GDDSO,,,CUST0000218,native_telco_customer_id,1.0
IDBR00000219,telco_customer_churn,0334-ZFJSR,,,CUST0000219,native_telco_customer_id,1.0
IDBR00000220,telco_customer_churn,0336-KXKFK,,,CUST0000220,native_telco_customer_id,1.0
IDBR00000221,telco_customer_churn,0336-PIKEI,,,CUST0000221,native_telco_customer_id,1.0
IDBR00000222,telco_customer_churn,0337-CNPZE,,,CUST0000222,native_telco_customer_id,1.0
IDBR00000223,telco_customer_churn,0343-QLUZP,,,CUST0000223,native_telco_customer_id,1.0
IDBR00000224,telco_customer_churn,0345-HKJVM,,,CUST0000224,native_telco_customer_id,1.0
IDBR00000225,telco_customer_churn,0345-XMMUG,,,CUST0000225,native_telco_customer_id,1.0
IDBR00000226,telco_customer_churn,0347-UBKUZ,,,CUST0000226,native_telco_customer_id,1.0
IDBR00000227,telco_customer_churn,0348-SDKOL,,,CUST0000227,native_telco_customer_id,1.0
IDBR00000228,telco_customer_churn,0354-VXMJC,,,CUST0000228,native_telco_customer_id,1.0
IDBR00000229,telco_customer_churn,0354-WYROK,,,CUST0000229,native_telco_customer_id,1.0
IDBR00000230,telco_customer_churn,0356-ERHVT,,,CUST0000230,native_telco_customer_id,1.0
IDBR00000231,telco_customer_churn,0356-OBMAC,,,CUST0000231,native_telco_customer_id,1.0
IDBR00000232,telco_customer_churn,0357-NVCRI,,,CUST0000232,native_telco_customer_id,1.0
IDBR00000233,telco_customer_churn,0361-HJRDX,,,CUST0000233,native_telco_customer_id,1.0
IDBR00000234,telco_customer_churn,0362-RAOQO,,,CUST0000234,native_telco_customer_id,1.0
IDBR00000235,telco_customer_churn,0362-ZBZWJ,,,CUST0000235,native_telco_customer_id,1.0
IDBR00000236,telco_customer_churn,0363-QJVFX,,,CUST0000236,native_telco_customer_id,1.0
IDBR00000237,telco_customer_churn,0363-SVHYR,,,CUST0000237,native_telco_customer_id,1.0
IDBR00000238,telco_customer_churn,0365-BZUWY,,,CUST0000238,native_telco_customer_id,1.0
IDBR00000239,telco_customer_churn,0365-GXEZS,,,CUST0000239,native_telco_customer_id,1.0
IDBR00000240,telco_customer_churn,0365-TRTPY,,,CUST0000240,native_telco_customer_id,1.0
IDBR00000241,telco_customer_churn,0366-NQSHS,,,CUST0000241,native_telco_customer_id,1.0
IDBR00000242,telco_customer_churn,0369-ZGOVK,,,CUST0000242,native_telco_customer_id,1.0
IDBR00000243,telco_customer_churn,0373-AIVNJ,,,CUST0000243,native_telco_customer_id,1.0
IDBR00000244,telco_customer_churn,0374-AACSZ,,,CUST0000244,native_telco_customer_id,1.0
IDBR00000245,telco_customer_churn,0374-FIUCA,,,CUST0000245,native_telco_customer_id,1.0
IDBR00000246,telco_customer_churn,0374-IOEGQ,,,CUST0000246,native_telco_customer_id,1.0
IDBR00000247,telco_customer_churn,0375-HVGXO,,,CUST0000247,native_telco_customer_id,1.0
IDBR00000248,telco_customer_churn,0376-OIWME,,,CUST0000248,native_telco_customer_id,1.0
IDBR00000249,telco_customer_churn,0376-YMCJC,,,CUST0000249,native_telco_customer_id,1.0
IDBR00000250,telco_customer_churn,0377-JBKKT,,,CUST0000250,native_telco_customer_id,1.0
IDBR00000251,telco_customer_churn,0378-CJKPV,,,CUST0000251,native_telco_customer_id,1.0
IDBR00000252,telco_customer_churn,0378-NHQXU,,,CUST0000252,native_telco_customer_id,1.0
IDBR00000253,telco_customer_churn,0378-TOVMS,,,CUST0000253,native_telco_customer_id,1.0
IDBR00000254,telco_customer_churn,0378-XSZPU,,,CUST0000254,native_telco_customer_id,1.0
IDBR00000255,telco_customer_churn,0379-DJQHR,,,CUST0000255,native_telco_customer_id,1.0
IDBR00000256,telco_customer_churn,0380-NEAVX,,,CUST0000256,native_telco_customer_id,1.0
IDBR00000257,telco_customer_churn,0380-ZCSBI,,,CUST0000257,native_telco_customer_id,1.0
IDBR00000258,telco_customer_churn,0383-CLDDA,,,CUST0000258,native_telco_customer_id,1.0
IDBR00000259,telco_customer_churn,0384-LPITE,,,CUST0000259,native_telco_customer_id,1.0
IDBR00000260,telco_customer_churn,0384-RVBPI,,,CUST0000260,native_telco_customer_id,1.0
IDBR00000261,telco_customer_churn,0386-CWRGM,,,CUST0000261,native_telco_customer_id,1.0
IDBR00000262,telco_customer_churn,0388-EOPEX,,,CUST0000262,native_telco_customer_id,1.0
IDBR00000263,telco_customer_churn,0390-DCFDQ,,,CUST0000263,native_telco_customer_id,1.0
IDBR00000264,telco_customer_churn,0392-BZIUW,,,CUST0000264,native_telco_customer_id,1.0
IDBR00000265,telco_customer_churn,0394-YONDK,,,CUST0000265,native_telco_customer_id,1.0
IDBR00000266,telco_customer_churn,0396-HUJBP,,,CUST0000266,native_telco_customer_id,1.0
IDBR00000267,telco_customer_churn,0396-UKGAI,,,CUST0000267,native_telco_customer_id,1.0
IDBR00000268,telco_customer_churn,0396-YCHWO,,,CUST0000268,native_telco_customer_id,1.0
IDBR00000269,telco_customer_churn,0397-GZBBC,,,CUST0000269,native_telco_customer_id,1.0
IDBR00000270,telco_customer_churn,0397-ZXWQF,,,CUST0000270,native_telco_customer_id,1.0
IDBR00000271,telco_customer_churn,0401-WDBXM,,,CUST0000271,native_telco_customer_id,1.0
IDBR00000272,telco_customer_churn,0402-CQAJN,,,CUST0000272,native_telco_customer_id,1.0
IDBR00000273,telco_customer_churn,0402-OAMEN,,,CUST0000273,native_telco_customer_id,1.0
IDBR00000274,telco_customer_churn,0404-AHASP,,,CUST0000274,native_telco_customer_id,1.0
IDBR00000275,telco_customer_churn,0404-SWRVG,,,CUST0000275,native_telco_customer_id,1.0
IDBR00000276,telco_customer_churn,0406-BPDVR,,,CUST0000276,native_telco_customer_id,1.0
IDBR00000277,telco_customer_churn,0407-BDJKB,,,CUST0000277,native_telco_customer_id,1.0
IDBR00000278,telco_customer_churn,0409-WTMPL,,,CUST0000278,native_telco_customer_id,1.0
IDBR00000279,telco_customer_churn,0410-IPFTY,,,CUST0000279,native_telco_customer_id,1.0
IDBR00000280,telco_customer_churn,0411-EZJZE,,,CUST0000280,native_telco_customer_id,1.0
IDBR00000281,telco_customer_churn,0412-UCCNP,,,CUST0000281,native_telco_customer_id,1.0
IDBR00000282,telco_customer_churn,0415-MOSGF,,,CUST0000282,native_telco_customer_id,1.0
IDBR00000283,telco_customer_churn,0419-YAAPX,,,CUST0000283,native_telco_customer_id,1.0
